epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.03146,4.9533664682006835,0.001,0.07753,0.1153,0.07739999890327454,4.046121597290039,0.17270000278949738,0.23479999601840973
1,0.07898,4.445563544998169,0.001,0.1693,0.23601,0.12729999423027039,4.390448093414307,0.25699999928474426,0.34290000796318054
2,0.11786,4.137503497467041,0.001,0.23695,0.31282,0.147599995136261,3.7155990600585938,0.290800005197525,0.382099986076355
3,0.14986,3.9183284885406495,0.001,0.28546,0.36746,0.17820000648498535,4.294720649719238,0.3353999853134155,0.42410001158714294
