epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
87,0.39409,2.554681875495911,9.9856006e-05,0.57965,0.66302,0.47440001368522644,2.3262906074523926,0.6606000065803528,0.7369999885559082
88,0.39495,2.5496022408294676,3.1554497e-05,0.58081,0.66373,0.47519999742507935,1.8207449913024902,0.6632000207901001,0.737500011920929
89,0.39602,2.532122213783264,3.1554497e-05,0.58461,0.66814,0.4778999984264374,2.7864904403686523,0.6660000085830688,0.7401000261306763
90,0.39652,2.5364110412216188,3.1554497e-05,0.5837,0.66572,0.4745999872684479,2.8646395206451416,0.6636999845504761,0.7376999855041504
91,0.39539,2.5436259480285646,3.1554497e-05,0.58329,0.66616,0.4763999879360199,2.164046287536621,0.6650999784469604,0.7398999929428101
92,0.39807,2.5359776631546023,3.1554497e-05,0.58425,0.66579,0.4758000075817108,1.7678638696670532,0.664900004863739,0.7405999898910522
93,0.39976,2.5321824421310426,3.1554497e-05,0.58445,0.66711,0.47769999504089355,2.5017642974853516,0.6647999882698059,0.7394999861717224
94,0.39829,2.5332753340911864,3.1554497e-05,0.58639,0.66812,0.47600001096725464,3.0150930881500244,0.6635000109672546,0.7386000156402588
95,0.3969,2.5366312995147706,9.971221e-06,0.58302,0.66613,0.4763000011444092,2.4110817909240723,0.6625999808311462,0.7376999855041504
96,0.39769,2.5287178688049314,9.971221e-06,0.58531,0.66929,0.475600004196167,2.218129873275757,0.6638000011444092,0.7404999732971191
97,0.40037,2.524416265411377,9.971221e-06,0.58715,0.66917,0.47540000081062317,2.948211193084717,0.6643000245094299,0.7383999824523926
98,0.39783,2.532737630729675,9.971221e-06,0.5853,0.66804,0.476500004529953,2.103198528289795,0.6625000238418579,0.7390999794006348
99,0.3986,2.529980548019409,9.971221e-06,0.58684,0.66958,0.4740999937057495,1.5308994054794312,0.6632999777793884,0.7394999861717224
