epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.01017,5.243303536529541,0.001,0.02968,0.04753,0.004999999888241291,5.716728210449219,0.014999999664723873,0.02500000037252903
1,0.02355,5.001172082366943,0.001,0.06258,0.09602,0.011500000022351742,6.130616188049316,0.03500000014901161,0.054099999368190765
2,0.04263,4.735721139526367,0.001,0.10557,0.15659,0.013000000268220901,8.160346984863281,0.03269999846816063,0.051600001752376556
3,0.06192,4.543688779602051,0.001,0.14142,0.20321,0.04989999905228615,5.135185718536377,0.1128000020980835,0.16660000383853912
4,0.08364,4.362566733627319,0.001,0.18215,0.25149,0.06109999865293503,5.031206130981445,0.14329999685287476,0.20069999992847443
5,0.101,4.233732155532837,0.001,0.20876,0.2845,0.042399998754262924,5.936307907104492,0.09350000321865082,0.13500000536441803
6,0.11112,4.155688815460205,0.001,0.22622,0.30515,0.08340000361204147,5.212065696716309,0.17949999868869781,0.2485000044107437
7,0.1255,4.058804645080566,0.001,0.24887,0.32841,0.11620000004768372,3.325117588043213,0.23549999296665192,0.31470000743865967
8,0.13691,3.9894866832733156,0.001,0.26454,0.34697,0.11810000240802765,4.31961727142334,0.2379000037908554,0.31779998540878296
9,0.14629,3.926921695098877,0.001,0.28025,0.36365,0.1387999951839447,3.6617438793182373,0.2696000039577484,0.352400004863739
10,0.15472,3.872237184753418,0.001,0.29268,0.37568,0.14390000700950623,4.117636203765869,0.28139999508857727,0.36570000648498535
11,0.16674,3.791068204879761,0.001,0.31081,0.39693,0.15279999375343323,3.928037166595459,0.2919999957084656,0.38190001249313354
12,0.17384,3.7564755060577393,0.001,0.31887,0.4055,0.14219999313354492,3.97542667388916,0.2815000116825104,0.3691999912261963
13,0.18273,3.6999803908538818,0.001,0.3308,0.41786,0.14079999923706055,3.77547550201416,0.2728999853134155,0.3605000078678131
14,0.19327,3.637829481124878,0.001,0.34493,0.4333,0.16619999706745148,3.6864304542541504,0.3142000138759613,0.4032000005245209
15,0.20068,3.5940619215393066,0.001,0.35535,0.44312,0.195700004696846,2.911867141723633,0.3497999906539917,0.4377000033855438
16,0.20469,3.570174423828125,0.001,0.36171,0.44985,0.10729999840259552,3.659181594848633,0.21709999442100525,0.28949999809265137
17,0.20534,3.563659670639038,0.001,0.36295,0.4517,0.10029999911785126,3.8846890926361084,0.19550000131130219,0.2621999979019165
18,0.20864,3.5336952819824217,0.001,0.3685,0.45791,0.1459999978542328,4.523432731628418,0.2694999873638153,0.35589998960494995
19,0.21659,3.4958853453826904,0.001,0.37816,0.46584,0.13120000064373016,4.574240684509277,0.25209999084472656,0.3276999890804291
20,0.22711,3.430907416229248,0.001,0.39154,0.48083,0.20010000467300415,3.894366502761841,0.3544999957084656,0.4399000108242035
21,0.23876,3.370555555114746,0.001,0.40539,0.49522,0.21570000052452087,3.3321757316589355,0.37560001015663147,0.45890000462532043
22,0.24548,3.3286038802337647,0.001,0.41481,0.50352,0.219200000166893,4.468270301818848,0.3815000057220459,0.4772999882698059
23,0.25086,3.2951891822052004,0.001,0.42125,0.51166,0.20980000495910645,3.773019313812256,0.3718999922275543,0.45719999074935913
24,0.2565,3.253643598098755,0.001,0.43022,0.52079,0.21549999713897705,3.694890022277832,0.38040000200271606,0.4659000039100647
25,0.26539,3.209491736984253,0.001,0.44289,0.53234,0.24289999902248383,4.592267990112305,0.4108000099658966,0.49950000643730164
26,0.2688,3.183174951324463,0.001,0.44675,0.536,0.22599999606609344,2.688737630844116,0.37959998846054077,0.4717999994754791
27,0.27683,3.1513545886230467,0.001,0.45356,0.54339,0.24369999766349792,4.203976631164551,0.4138000011444092,0.5016999840736389
28,0.28411,3.1059864855957033,0.001,0.46232,0.55382,0.2687999904155731,3.6928563117980957,0.4381999969482422,0.5271000266075134
29,0.28535,3.091746565246582,0.001,0.46497,0.55561,0.2556000053882599,2.478212356567383,0.4244999885559082,0.5126000046730042
30,0.29076,3.064564946861267,0.001,0.47115,0.56108,0.19140000641345978,3.2428016662597656,0.336899995803833,0.41819998621940613
31,0.29947,3.024380608482361,0.001,0.48043,0.57044,0.26080000400543213,2.9251227378845215,0.4311999976634979,0.5254999995231628
32,0.30023,3.004889983253479,0.001,0.48338,0.57505,0.2712000012397766,2.2635767459869385,0.45260000228881836,0.5412999987602234
33,0.30816,2.9762068828964234,0.001,0.48924,0.57973,0.25540000200271606,3.6591379642486572,0.43050000071525574,0.5213000178337097
34,0.31272,2.9518945196914674,0.001,0.49697,0.58591,0.2824000120162964,2.7399330139160156,0.4496000111103058,0.5388000011444092
35,0.318,2.9134205684280396,0.001,0.5025,0.59272,0.27149999141693115,2.7808146476745605,0.451200008392334,0.5367000102996826
36,0.3212,2.8941201428604124,0.001,0.50801,0.59927,0.2660999894142151,4.017498016357422,0.444599986076355,0.5292999744415283
37,0.32453,2.8843763177490236,0.001,0.51074,0.5999,0.28290000557899475,2.7291719913482666,0.4634000062942505,0.5508999824523926
38,0.33258,2.84450868309021,0.001,0.5178,0.60725,0.2849000096321106,3.0674586296081543,0.4551999866962433,0.5426999926567078
39,0.3329,2.839793309211731,0.001,0.51909,0.60894,0.2946000099182129,3.5591869354248047,0.47429999709129333,0.5605999827384949
40,0.34169,2.7981324353408814,0.001,0.52816,0.61704,0.2888000011444092,2.0762035846710205,0.47290000319480896,0.5565000176429749
41,0.34421,2.780491781425476,0.001,0.53069,0.61904,0.3021000027656555,2.7854442596435547,0.4812000095844269,0.5716999769210815
