epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.00754,5.632450021667481,0.005,0.02156,0.03421,0.026900000870227814,5.007148265838623,0.06459999829530716,0.09350000321865082
1,0.01386,5.424571579437256,0.005,0.03617,0.05595,0.03700000047683716,4.94642448425293,0.08839999884366989,0.1265999972820282
2,0.01794,5.302926360778809,0.005,0.04713,0.07179,0.04729999974370003,4.485962867736816,0.10760000348091125,0.15530000627040863
3,0.02241,5.218952850341797,0.005,0.05548,0.08349,0.05640000104904175,4.73877477645874,0.12189999967813492,0.17299999296665192
4,0.02482,5.151106036834717,0.005,0.06254,0.09437,0.06639999896287918,5.006381034851074,0.14069999754428864,0.19359999895095825
5,0.03001,5.095095565490722,0.005,0.07141,0.10514,0.07569999992847443,4.886987209320068,0.15219999849796295,0.20520000159740448
6,0.03223,5.055852366485595,0.005,0.0757,0.11145,0.07909999787807465,4.430212020874023,0.16040000319480896,0.21330000460147858
7,0.03525,5.015262023925781,0.005,0.0825,0.12025,0.08510000258684158,4.782892227172852,0.16820000112056732,0.22540000081062317
8,0.03842,4.97252288192749,0.005,0.09007,0.1307,0.08550000190734863,4.634263038635254,0.17159999907016754,0.23260000348091125
9,0.04244,4.933688395996094,0.005,0.09647,0.13834,0.08780000358819962,4.517490863800049,0.17960000038146973,0.24199999868869781
10,0.04439,4.906584247131348,0.005,0.10097,0.14508,0.0940999984741211,4.282485008239746,0.18610000610351562,0.249099999666214
11,0.04601,4.882360860443115,0.005,0.10539,0.14981,0.09510000050067902,4.9722490310668945,0.18729999661445618,0.25119999051094055
12,0.04937,4.848353162536621,0.005,0.11152,0.15699,0.10159999877214432,3.407247304916382,0.1987999975681305,0.25850000977516174
13,0.05134,4.828383428955078,0.005,0.11463,0.16257,0.10019999742507935,4.360204696655273,0.19900000095367432,0.25940001010894775
14,0.05478,4.805689843292236,0.005,0.11904,0.16675,0.10719999670982361,3.835756778717041,0.2069000005722046,0.26910001039505005
15,0.05587,4.780777482528687,0.005,0.12265,0.17203,0.10570000112056732,4.478693008422852,0.2087000012397766,0.2734000086784363
