epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.02749,5.141661690216065,0.001,0.0679,0.10101,0.07329999655485153,5.130242824554443,0.15029999613761902,0.20589999854564667
1,0.0602,4.678000416641235,0.001,0.13499,0.19077,0.11760000139474869,3.950033664703369,0.2425999939441681,0.31869998574256897
2,0.08605,4.4589308707427975,0.001,0.17856,0.24476,0.15569999814033508,3.7413792610168457,0.2994999885559082,0.3849000036716461
3,0.10568,4.292074579162597,0.001,0.21235,0.28329,0.17229999601840973,3.350252151489258,0.31850001215934753,0.4049000144004822
4,0.12342,4.156270304946899,0.001,0.24136,0.31621,0.17910000681877136,3.3753445148468018,0.33739998936653137,0.4259999990463257
5,0.13735,4.053422681121826,0.001,0.26314,0.33963,0.19869999587535858,3.7409584522247314,0.3617999851703644,0.447299987077713
6,0.15158,3.9594773876953124,0.001,0.2827,0.36162,0.24959999322891235,3.0941100120544434,0.4171000123023987,0.5083000063896179
7,0.16031,3.887360471496582,0.001,0.29673,0.37806,0.2515999972820282,3.0964484214782715,0.42669999599456787,0.5156999826431274
8,0.17191,3.8211573749542236,0.001,0.31227,0.39554,0.26080000400543213,2.534083604812622,0.44130000472068787,0.5314000248908997
9,0.18276,3.7568755210113527,0.001,0.32773,0.41051,0.2815999984741211,3.4282455444335938,0.4643000066280365,0.5529999732971191
10,0.1898,3.7051412577819822,0.001,0.33711,0.42182,0.295199990272522,2.798064708709717,0.48179998993873596,0.5716999769210815
11,0.19917,3.65374705116272,0.001,0.34927,0.43426,0.2904999852180481,3.638171672821045,0.47429999709129333,0.5572999715805054
12,0.206,3.606680885925293,0.001,0.35772,0.44278,0.27469998598098755,2.459275484085083,0.4472000002861023,0.5349000096321106
13,0.21354,3.5639228034210206,0.001,0.36702,0.45178,0.3138999938964844,2.5054352283477783,0.4959000051021576,0.583299994468689
14,0.21755,3.5265541696166993,0.001,0.37558,0.46322,0.3253999948501587,2.395594835281372,0.5034000277519226,0.5885999798774719
15,0.22423,3.4902444940948487,0.001,0.38319,0.46991,0.32179999351501465,3.7287840843200684,0.5005000233650208,0.5918999910354614
16,0.23066,3.4564460780334474,0.001,0.39069,0.47744,0.32749998569488525,3.090176820755005,0.5151000022888184,0.6003000140190125
17,0.23593,3.426724468231201,0.001,0.39869,0.48498,0.3630000054836273,2.2920804023742676,0.5454000234603882,0.6302000284194946
18,0.24053,3.393756488952637,0.001,0.40603,0.49233,0.33719998598098755,3.359546422958374,0.5223000049591064,0.6129000186920166
19,0.2454,3.3691845362854003,0.001,0.41111,0.49702,0.36070001125335693,3.1151299476623535,0.5439000129699707,0.6256999969482422
20,0.2498,3.345731678009033,0.001,0.41649,0.50293,0.3553999960422516,4.010974407196045,0.5389000177383423,0.6233999729156494
21,0.25486,3.3179916227722166,0.001,0.42165,0.50738,0.3720000088214874,3.0251657962799072,0.5575000047683716,0.6401000022888184
22,0.25836,3.293855705108643,0.001,0.42665,0.51407,0.37779998779296875,2.2646689414978027,0.5601999759674072,0.6460000276565552
23,0.26056,3.2761599580383303,0.001,0.42944,0.51593,0.3472999930381775,2.788428544998169,0.5315999984741211,0.6158999800682068
