epoch,accuracy,loss,lr,top3_accuracy,top5_accuracy,val_accuracy,val_loss,val_top3_accuracy,val_top5_accuracy
0,0.00872,5.465626277160645,0.001,0.025,0.04018,0.015599999576807022,5.271938323974609,0.045499999076128006,0.07010000199079514
1,0.02727,5.040114520874023,0.001,0.06838,0.10305,0.04690000042319298,5.121101379394531,0.10599999874830246,0.1526000052690506
2,0.04793,4.792714090270996,0.001,0.11218,0.16098,0.06270000338554382,4.963015556335449,0.14229999482631683,0.19920000433921814
3,0.06532,4.611962970504761,0.001,0.14429,0.20227,0.08739999681711197,4.422092437744141,0.17990000545978546,0.2460000067949295
4,0.08384,4.455484081802368,0.001,0.17675,0.24124,0.10379999876022339,4.345439434051514,0.21070000529289246,0.28119999170303345
5,0.09856,4.32643700843811,0.001,0.20183,0.27058,0.1290999948978424,3.9857425689697266,0.25040000677108765,0.32739999890327454
6,0.11179,4.225932253189087,0.001,0.22351,0.29602,0.13580000400543213,4.484596252441406,0.26260000467300415,0.33970001339912415
7,0.12443,4.142227825927734,0.001,0.24383,0.32044,0.1501999944448471,3.764876365661621,0.2904999852180481,0.36959999799728394
8,0.13515,4.064279728393554,0.001,0.26088,0.33784,0.17309999465942383,3.6894450187683105,0.314300000667572,0.39910000562667847
9,0.14509,4.000666329269409,0.001,0.27427,0.35409,0.16509999334812164,3.7637457847595215,0.29739999771118164,0.37959998846054077
10,0.15417,3.942344152984619,0.001,0.28893,0.36864,0.18700000643730164,3.492899179458618,0.33390000462532043,0.4212000072002411
11,0.16396,3.882254077606201,0.001,0.30102,0.38198,0.195700004696846,3.258298873901367,0.3463999927043915,0.43560001254081726
12,0.17194,3.8279934692382813,0.001,0.31196,0.39371,0.20250000059604645,3.3927392959594727,0.3517000079154968,0.43849998712539673
13,0.17826,3.7872326103210447,0.001,0.32116,0.404,0.2053000032901764,2.94014835357666,0.36070001125335693,0.4505000114440918
14,0.1845,3.7446509136199952,0.001,0.33,0.41387,0.21459999680519104,2.888707399368286,0.37439998984336853,0.46149998903274536
15,0.19137,3.7050755564117432,0.001,0.33913,0.42326,0.2079000025987625,2.965724468231201,0.3553999960422516,0.4422999918460846
16,0.19742,3.6637742613983155,0.001,0.34728,0.43255,0.2303999960422516,4.015081405639648,0.39570000767707825,0.48350000381469727
17,0.2031,3.6305035503387453,0.001,0.35694,0.44139,0.2361000031232834,2.815608263015747,0.40310001373291016,0.4871000051498413
18,0.20651,3.602041969604492,0.001,0.36207,0.44732,0.24490000307559967,2.694300651550293,0.41029998660087585,0.49729999899864197
19,0.21187,3.570475180053711,0.001,0.36704,0.45329,0.2393999993801117,3.6366400718688965,0.40630000829696655,0.4927000105381012
20,0.21712,3.535125819396973,0.001,0.37558,0.46145,0.24639999866485596,3.1079771518707275,0.4106000065803528,0.49390000104904175
21,0.22306,3.5085615088653563,0.001,0.38201,0.46745,0.25380000472068787,3.5998129844665527,0.41690000891685486,0.5067999958992004
22,0.22582,3.4852149893951414,0.001,0.38605,0.47244,0.27140000462532043,2.837587594985962,0.43779999017715454,0.5238999724388123
23,0.22992,3.460907329406738,0.001,0.39216,0.4791,0.2581000030040741,2.3644418716430664,0.42489999532699585,0.5127000212669373
24,0.23468,3.4350884133911133,0.001,0.39645,0.48291,0.2761000096797943,3.7780098915100098,0.448199987411499,0.5321999788284302
25,0.23825,3.4167317710113525,0.001,0.40049,0.48754,0.2793999910354614,3.398963451385498,0.4496000111103058,0.5357000231742859
26,0.24224,3.3935216872406007,0.001,0.40598,0.4938,0.28290000557899475,2.7563071250915527,0.45879998803138733,0.5490999817848206
27,0.24261,3.3792878857421873,0.001,0.41084,0.49558,0.28040000796318054,2.7066612243652344,0.45840001106262207,0.5418000221252441
28,0.24834,3.357504852371216,0.001,0.41577,0.50225,0.24140000343322754,4.2595930099487305,0.40380001068115234,0.48910000920295715
29,0.25353,3.3327140546417238,0.001,0.41974,0.50586,0.28439998626708984,2.8645362854003906,0.46070000529289246,0.5439000129699707
30,0.25341,3.32254425239563,0.001,0.42006,0.50708,0.2897999882698059,2.407532215118408,0.4657000005245209,0.555899977684021
31,0.25796,3.305075015106201,0.001,0.42451,0.51123,0.298799991607666,3.7268593311309814,0.4788999855518341,0.5605999827384949
32,0.26096,3.2833593700408934,0.001,0.4293,0.51644,0.3005000054836273,3.151740312576294,0.47360000014305115,0.5641000270843506
33,0.26398,3.2698589204406736,0.001,0.4313,0.51889,0.3027999997138977,1.8157846927642822,0.4763999879360199,0.5616000294685364
34,0.26757,3.2521810289001465,0.001,0.4363,0.52338,0.2743000090122223,3.0098791122436523,0.4496000111103058,0.534500002861023
35,0.26725,3.241432145843506,0.001,0.43763,0.52566,0.3061999976634979,3.8988230228424072,0.4830999970436096,0.5679000020027161
36,0.27177,3.2218015993499756,0.001,0.44392,0.52993,0.30970001220703125,2.626654863357544,0.4876999855041504,0.576200008392334
37,0.2734,3.210065982055664,0.001,0.44419,0.53061,0.30970001220703125,2.746716260910034,0.48489999771118164,0.5763000249862671
38,0.2756,3.2019577642059325,0.001,0.44689,0.53248,0.31520000100135803,2.8491530418395996,0.4909000098705292,0.5723999738693237
39,0.27584,3.1888383827209474,0.001,0.44928,0.53554,0.3091000020503998,3.367645263671875,0.4945000112056732,0.5863000154495239
40,0.27977,3.174212501182556,0.001,0.45277,0.53935,0.31130000948905945,2.5573363304138184,0.48910000920295715,0.5756999850273132
